building_id,property,building_code,building_name,created_at,updated_at,created_by,updated_by
1,2,PIRAMIDE,Piramide,2026-02-23T19:18:01.176575+00:00,2026-02-23T21:06:45.125048+00:00,1,1
2,2,TORRE,Torre,2026-02-23T21:07:06.733527+00:00,2026-02-23T21:07:06.733548+00:00,1,1
3,2,TRIANGULO,Triangulo,2026-02-23T21:07:22.803551+00:00,2026-02-23T21:07:22.803570+00:00,1,1
4,1,PRINCIPAL,Ejemplo Principal,2026-02-27T18:56:44.277247+00:00,2026-02-27T18:56:44.277282+00:00,1,1
5,4,B01,Principal,2026-02-28T21:31:42.855834+00:00,2026-02-28T21:31:42.855859+00:00,1,1
6,4,B02,Villas,2026-02-28T21:38:23.492519+00:00,2026-02-28T21:38:23.492550+00:00,1,1
